State,total_sales,total_profit,avg_discount,order_lines,unique_orders,avg_discount_pct
Texas,170188.0458,-25729.3563,0.3701928934010152,985,487,37.019289340101516
Ohio,78258.136,-16971.3766,0.3249466950959488,469,236,32.49466950959488
Pennsylvania,116511.914,-15559.9603,0.32862010221465077,587,288,32.86201022146508
Illinois,80166.101,-12607.887,0.3900406504065041,492,276,39.00406504065041
North Carolina,55603.164,-7490.9122,0.2835341365461847,249,136,28.35341365461847
Colorado,32108.118,-6527.8579,0.31648351648351647,182,79,31.648351648351646
Tennessee,30661.873,-5341.6936,0.29125683060109286,183,91,29.125683060109285
Arizona,35282.001,-3427.9246,0.30357142857142855,224,108,30.357142857142854
Florida,89473.708,-3399.3017000000004,0.2993472584856397,383,200,29.93472584856397
Oregon,17431.15,-1190.4705,0.2887096774193548,124,56,28.870967741935484
Wyoming,1603.136,100.196,0.2,1,1,20.0
West Virginia,1209.824,185.9216,0.075,4,2,7.5
North Dakota,919.91,230.1497,0.0,7,2,0.0
South Dakota,1315.56,394.8283,0.0,12,5,0.0
Maine,1270.53,454.4862,0.0,8,3,0.0
Idaho,4382.486,826.7231,0.08571428571428572,21,11,8.571428571428571
Kansas,2914.31,836.4435,0.0,24,14,0.0
District of Columbia,2865.02,1059.5892999999999,0.0,10,4,0.0
New Mexico,4783.522,1157.1161,0.05945945945945946,37,22,5.9459459459459465
Iowa,4579.76,1183.8119,0.0,30,17,0.0
New Hampshire,7292.524,1706.5028,0.011111111111111112,27,17,1.1111111111111112
South Carolina,8481.71,1769.0566,0.0,42,20,0.0
Montana,5589.352,1833.3285,0.06666666666666667,15,8,6.666666666666667
Nebraska,7464.93,2037.0942000000002,0.0,38,23,0.0
Louisiana,9217.03,2196.1023,0.0,42,21,0.0
Vermont,8929.369999999999,2244.9782999999998,0.0,11,6,0.0
Utah,11220.056,2546.5335,0.06037735849056604,53,26,6.037735849056604
Mississippi,10771.34,3172.9762,0.0,53,26,0.0
Nevada,16729.102,3316.7659,0.06153846153846155,39,23,6.153846153846155
Connecticut,13384.357,3511.4918,0.007317073170731707,82,45,0.7317073170731707
Arkansas,11678.13,4008.6871,0.0,60,27,0.0
Oklahoma,19683.39,4853.956,0.0,66,34,0.0
Alabama,19510.64,5786.8253,0.0,61,34,0.0
Missouri,22205.15,6436.2105,0.0,66,30,0.0
Massachusetts,28634.434,6785.5016000000005,0.015555555555555557,135,62,1.5555555555555556
Maryland,23705.523,7031.1788,0.005714285714285714,105,46,0.5714285714285714
Rhode Island,22627.956,7285.6293000000005,0.02142857142857143,56,25,2.142857142857143
Wisconsin,32114.61,8401.8004,0.0,110,53,0.0
New Jersey,35764.312,9772.9138,0.004615384615384615,130,61,0.4615384615384615
Delaware,27451.069,9977.3748,0.0062499999999999995,96,44,0.625
Minnesota,29863.15,10823.1874,0.0,89,44,0.0
Kentucky,36591.75,11199.6966,0.0,139,61,0.0
Georgia,49095.84,16250.0433,0.0,184,91,0.0
Indiana,53555.36,18382.9363,0.0,149,73,0.0
Virginia,70636.72,18597.9504,0.0,224,115,0.0
Michigan,76269.614,24463.1876,0.007058823529411765,255,117,0.7058823529411765
Washington,138641.27,33402.6517,0.06403162055335967,506,256,6.403162055335968
New York,310876.271,74038.5486,0.055319148936170216,1128,562,5.531914893617022
California,457687.6315,76381.38709999999,0.07276361819090454,2001,1021,7.276361819090455
