State,Sub-Category,Product Name,total_sales,total_profit,avg_discount,unique_orders
Ohio,Machines,Cubify CubeX 3D Printer Double Head Print,6299.978999999999,-9239.9692,0.7,2
Texas,Binders,GBC DocuBind P400 Electric Binding System,3266.3759999999997,-5552.8392,0.8,2
North Carolina,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904,0.5,1
Colorado,Machines,Lexmark MX611dhe Monochrome Laser Printer,2549.985,-3399.98,0.7,1
Illinois,Binders,Ibico EPK-21 Electric Binding System,1889.99,-2929.4845,0.8,1
Texas,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1525.188,-2287.782,0.8,1
Tennessee,Binders,GBC Ibimaster 500 Manual ProClick Binding System,2967.822,-1978.5480000000002,0.7,2
Texas,Machines,Lexmark MX611dhe Monochrome Laser Printer,11219.934000000001,-1869.989,0.4,2
North Carolina,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,-1862.3124,0.4,1
Florida,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,0.5,1
Pennsylvania,Binders,GBC Ibimaster 500 Manual ProClick Binding System,2511.234,-1674.156,0.7,2
Pennsylvania,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,-1665.0522,0.5,1
Texas,Binders,GBC DocuBind TL300 Electric Binding System,896.99,-1480.0335,0.8,1
Texas,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,530.316,-1378.8216,0.8000000000000002,3
North Carolina,Binders,GBC DocuBind P400 Electric Binding System,1633.188,-1306.5504,0.7,1
Tennessee,Binders,GBC DocuBind TL300 Electric Binding System,1614.582,-1237.8462,0.7,1
Pennsylvania,Supplies,Martin Yale Chadless Opener Electric Letter Opener,5329.984,-1199.2464,0.2,2
Texas,Appliances,Hoover Upright Vacuum With Dirt Cup,463.248,-1181.2824,0.8,1
Illinois,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,762.594,-1143.891,0.8,1
Texas,Binders,GBC Ibimaster 500 Manual ProClick Binding System,760.98,-1141.47,0.8,1
Florida,Binders,GBC DocuBind TL300 Electric Binding System,1345.485,-1031.5385,0.7,1
Tennessee,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,2314.116,-1002.7836,0.4,1
Tennessee,Tables,Balt Solid Wood Round Tables,1875.258,-968.8833,0.4,1
Ohio,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0,-950.4,0.7,1
North Carolina,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985,-944.9946,0.5,1
Colorado,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,-938.28,0.7,1
Ohio,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,652.995,-935.9595,0.7,1
Illinois,Binders,Ibico Hi-Tech Manual Binding System,487.98400000000004,-853.972,0.8,2
Arizona,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,-814.4832,0.5,1
Colorado,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",590.058,-786.744,0.7,1
Texas,Supplies,High Speed Automatic Electric Letter Opener,3930.072,-786.0144,0.2,1
Texas,Binders,Ibico Hi-Tech Manual Binding System,426.986,-747.2255,0.8,2
Ohio,Tables,Hon 94000 Series Round Tables,1421.664,-734.5264,0.4,1
